Source,Target,Weight
Makeup,Beauty,1
Makeup,Reviews,1
Makeup,beauty,1
Makeup,Makeup,1
Makeup,April,1
Beauty,Log,1
Log,Makeup,1
Reviews,Watches,1
Watches,NowTo,1
NowTo,Makeup,1
beauty,blow,1
beauty,tips,1
beauty,adduct,2
blow,blooming,1
blooming,fresh,1
fresh,make,1
make,reviews,1
make,rotation,1
make,sandwich,1
reviews,snatches,1
snatches,beauty,1
tips,friendly,1
friendly,neighborhood,2
neighborhood,beauty,2
adduct,April,1
adduct,Aren,1
April,th,1
April,and,1
th,2024,1
2024,Aren,2
Aren,7,1
Aren,Categories,1
Aren,5,1
7,Comments,1
Comments,First,1
Comments,things,1
First,things,1
things,first,1
things,including,1
things,one,1
things,chin,1
first,mad,1
mad,newly,1
newly,formulated,2
formulated,Velvet,1
formulated,take,1
Velvet,Eddy,3
Eddy,Animal,1
Eddy,20,1
Eddy,frequent,1
Animal,Lipstick,1
Animal,linstocks,1
Lipstick,MAC,1
MAC,know,1
MAC,Makeup,1
MAC,matter,2
MAC,newly,1
MAC,Animal,1
MAC,linstocks,1
MAC,Patte,1
know,thought,1
thought,grumpy,1
grumpy,taking,1
taking,Sweet,1
Sweet,Real,2
Real,spin,1
Real,way,1
spin,last,1
last,week,1
last,night,1
last,long,1
week,feeling,1
feeling,underwhelmed,1
feeling,distinct,1
feeling,made,1
underwhelmed,experience,1
experience,wear,1
wear,time,2
time,Velvet,1
time,usually,1
20,almost,1
almost,good,1
good,original,1
original,less,1
less,drying,1
drying,lips,1
lips,Velvet,1
lips,dear,1
frequent,ulcer,1
ulcer,make,1
rotation,worry,1
worry,new,1
new,version,3
version,alright,1
version,refreshing,1
version,decided,1
alright,Secondly,1
Secondly,totally,1
totally,forgot,1
totally,random,1
forgot,mention,1
mention,ellipse,1
ellipse,writing,1
ellipse,glasses,1
writing,Monday,1
Monday,Toll,1
Toll,yesterday,1
yesterday,morning,1
yesterday,hope,1
morning,remember,1
morning,would,1
remember,saw,1
saw,couple,1
couple,telescope,1
telescope,various,1
various,ellipserelated,1
ellipserelated,accouterments,1
accouterments,camps,1
camps,oddly,1
oddly,thrilled,1
thrilled,lowteach,1
lowteach,things,1
including,shadows,1
shadows,created,1
created,commander,1
commander,ellipse,1
glasses,catch,1
catch,yesterday,1
hope,even,1
even,though,1
even,last,1
though,get,1
though,lunch,1
get,vitality,1
vitality,Northern,1
Northern,California,1
California,still,1
still,cool,1
still,around,1
cool,Last,1
Last,least,1
least,totally,1
random,question,1
question,lunch,1
lunch,today,1
lunch,lately,1
lunch,plans,1
lunch,think,1
today,mostly,1
mostly,asking,1
asking,behalf,1
behalf,tm,1
tm,LOL,1
LOL,coming,1
coming,home,1
home,lunch,1
lately,save,1
save,time,1
usually,set,1
set,aside,1
aside,leftovers,1
leftovers,make,1
sandwich,night,1
night,walk,1
night,though,1
walk,door,1
door,gobble,1
gobble,something,1
something,last,1
plans,yet,1
yet,need,1
need,into,1
into,friendly,1
Categories,MAC,1
and,2024,1
5,Comments,1
one,could,1
one,lips,1
could,always,1
always,rely,1
rely,like,1
like,sun,1
like,MAC,1
sun,rising,1
rising,setting,1
setting,internet,1
internet,cats,1
cats,silly,1
silly,things,1
chin,hairs,1
hairs,spontaneously,1
spontaneously,sprouting,1
sprouting,middle,1
middle,meeting,1
meeting,MAC,1
matter,linstocks,1
matter,formula,1
matter,nipple,1
matter,finish,1
matter,even,1
linstocks,gripping,1
linstocks,removed,1
linstocks,long,1
gripping,onto,1
onto,one,1
dear,life,1
life,feeling,1
distinct,MAC,1
formula,resented,1
formula,lieu,1
resented,outthere,1
outthere,nothing,1
nothing,like,1
take,matter,2
nipple,via,1
nipple,morning,1
via,MAC,1
removed,grippe,1
grippe,feeling,1
made,MAC,1
long,lasting,1
long,drink,1
lasting,wearing,1
wearing,shade,1
wearing,comfortable,1
shade,Sweet,1
way,neutral,1
neutral,pink,1
pink,ways,1
ways,new,1
refreshing,lightweight,1
lightweight,often,1
often,forget,1
forget,wearing,1
comfortable,matter,1
finish,smooth,1
smooth,beautifula,1
beautifula,modern,1
modern,take,1
drink,cup,1
cup,coffee,1
coffee,gone,1
gone,used,1
used,apply,1
apply,of,1
of,MAC,1
Patte,nipple,1
would,still,1
around,lunch,1
think,decided,1
decided,swap,1
decided,ladies,1
swap,old,1
old,formula,1
lieu,new,1
ladies,agents,1
agents,everyone,1
everyone,mind,1
mind,limited,1
limited,wear,1
