Source,Target,Weight
Florida,Treasure,2
Florida,natural,1
Florida,Winter,1
Treasure,Coast,2
Coast,adventure,1
Coast,30,1
adventure,less,1
less,finding,1
finding,chest,1
chest,gold,1
gold,treasure,1
treasure,Florida,1
treasure,truly,1
natural,beauty,1
natural,point,1
beauty,To,1
To,World,1
World,Travel,1
Travel,readersupported,1
readersupported,may,1
may,earn,1
earn,commission,1
commission,purchases,1
purchases,made,1
made,links,1
links,piece,1
piece,Escape,1
Escape,tourist,1
tourist,frenzy,1
frenzy,sprawling,1
sprawling,DiamIt,1
DiamIt,LauderdaleWest,1
LauderdaleWest,Calm,1
Calm,metroplex,1
Calm,Each,1
metroplex,discover,1
discover,untouched,1
untouched,jewel,1
jewel,Florida,1
jewel,rewards,1
30,minutes,1
minutes,north,1
north,Calm,1
north,Sort,1
north,Education,1
Each,Atlantic,1
Atlantic,Ocean,2
Ocean,treasure,1
Ocean,Take,1
Ocean,Jupiter,1
truly,jewel,1
rewards,printing,1
printing,reaches,1
reaches,deep,1
deep,sea,1
sea,fishing,1
sea,level,1
fishing,Key,1
fishing,one,1
Key,Weststyle,1
Weststyle,restaurant,1
restaurant,Stuart,1
Stuart,fun,1
Stuart,Face,1
fun,downtown,1
downtown,eating,1
eating,shopping,1
shopping,enjoying,1
enjoying,subtropical,1
subtropical,climate,1
climate,area,1
area,Arab,1
Arab,sun,1
sun,hat,1
hat,get,1
hat,summer,1
get,ready,1
ready,earth,1
earth,gems,1
gems,coastal,1
coastal,playground,1
coastal,handbills,1
playground,highlight,1
highlight,tour,1
tour,begins,1
tour,river,1
begins,Robe,1
Robe,Round,1
Robe,Mountain,1
Round,continues,1
continues,north,1
Sort,Salerno,1
Salerno,Stuart,1
Face,shoes,1
shoes,explore,1
explore,25,1
25,miles,1
miles,trails,1
trails,winding,1
winding,pine,1
pine,flatwoods,1
flatwoods,express,1
express,swamps,1
swamps,coastal,1
swamps,charm,1
handbills,including,1
including,879mile,1
879mile,Ocean,1
Take,multiuse,1
Take,plenty,1
multiuse,trail,1
trail,Embark,1
Embark,serene,1
serene,karay,1
karay,canoe,1
canoe,journey,1
journey,along,1
along,Loxahatchee,2
along,river,1
Loxahatchee,River,2
Loxahatchee,real,1
Loxahatchee,Queen,1
River,Slide,1
River,catch,1
Slide,mangrove,1
mangrove,tunnels,1
tunnels,spot,1
spot,others,1
others,running,1
running,banks,1
banks,listen,1
listen,birds,1
birds,sing,1
sing,Spend,1
Spend,peaceful,1
peaceful,afternoon,1
afternoon,fishing,1
one,park,1
one,set,1
park,freshwater,1
park,long,1
park,Loxahatchee,1
freshwater,lakes,1
lakes,along,1
catch,bass,1
bass,catfish,1
catfish,cripple,1
cripple,10minute,1
10minute,like,1
like,reach,1
reach,lookout,1
lookout,tower,1
tower,summit,1
summit,Robe,1
Mountain,rewarded,1
rewarded,breathtaking,1
breathtaking,panorama,1
panorama,view,1
view,Atlantic,1
Jupiter,Let,1
Let,86,1
86,feet,1
feet,sea,1
feet,include,1
level,making,1
making,highest,1
making,family,1
highest,natural,1
point,makeshift,1
makeshift,landfill,1
landfill,mountains,1
mountains,excluded,1
excluded,South,1
South,Florida,1
Winter,spring,1
spring,ideal,1
ideal,times,1
times,visit,1
visit,park,1
long,bike,1
bike,rides,1
rides,likes,1
likes,excellent,1
excellent,paved,1
paved,path,1
path,often,1
often,lacks,1
lacks,significant,1
significant,shade,1
shade,Take,1
plenty,sunscreen,1
sunscreen,wear,1
wear,hat,1
summer,Kimbell,1
Kimbell,Environmental,1
Environmental,Education,1
Education,Research,1
Education,Enter,1
Research,Enter,1
Enter,learn,1
Enter,along,1
learn,Mild,1
Mild,An,1
An,Loxahatchee,1
real,person,1
person,known,1
known,Wrapped,1
known,wresting,1
Wrapped,Elson,2
Elson,Arriving,1
Elson,became,1
Elson,retreated,1
Elson,north,1
Arriving,1930s,1
1930s,Elson,1
1930s,camp,1
became,well,1
well,known,1
wresting,alligators,1
alligators,befriending,1
befriending,snakes,1
snakes,navigation,1
navigation,swamps,1
charm,showmanship,1
showmanship,drew,1
drew,crowds,1
crowds,too,1
too,built,1
built,exotic,1
exotic,animals,1
animals,civilization,1
civilization,encroached,1
encroached,Elson,1
retreated,shadows,1
shadows,story,1
story,becoming,1
becoming,shrouded,1
shrouded,mystery,1
mystery,death,1
death,1968,1
1968,whispered,1
whispered,enigma,1
enigma,Deep,1
Deep,eye,1
eye,ghost,1
ghost,traveling,1
traveling,park,1
Queen,pontoon,1
pontoon,boat,1
boat,takes,1
takes,visitors,1
visitors,90minute,1
visitors,Jonathan,1
90minute,tour,1
river,stop,1
river,Clamping,1
stop,restored,1
restored,1930s,1
camp,Wrapped,1
Clamping,newest,1
newest,experience,1
experience,offered,1
offered,visitors,1
Jonathan,Dickinson,1
Dickinson,State,1
State,Dark,1
Dark,deluge,1
deluge,salary,1
salary,tents,1
tents,400,1
400,square,1
square,feet,1
include,kingsized,1
kingsized,queensized,1
queensized,beds,1
beds,least,1
beds,making,1
least,one,1
set,bank,1
bank,beds,1
family,adventure,1
