Source,Target,Weight
Some,Illnesses,1
Illnesses,conditions,1
conditions,Cancer,1
conditions,usually,1
Cancer,Cancer,1
Cancer,types,1
Cancer,Research,1
Cancer,Recognition,1
Cancer,pancreas,1
types,adults,1
adults,Pancreatic,1
Pancreatic,cancer,2
cancer,Pancreatic,1
cancer,caused,1
cancer,contact,1
cancer,often,1
cancer,include,2
cancer,produce,1
cancer,number,1
cancer,inherited,1
cancer,pancreas,1
cancer,usually,1
cancer,refer,1
cancer,read,1
cancer,fairly,1
cancer,difficult,1
cancer,treatment,1
cancer,far,1
caused,abnormal,1
caused,many,1
abnormal,uncontrolled,1
uncontrolled,growth,1
growth,cells,1
cells,pancreas,1
pancreas,large,1
pancreas,usually,1
pancreas,Cancer,1
pancreas,difficult,1
large,gland,1
large,treating,1
gland,part,1
part,digestive,1
digestive,system,1
system,Round,1
Round,half,1
half,new,1
new,cases,1
cases,diagnosed,1
cases,pancreatic,1
diagnosed,people,1
diagnosed,pancreatic,1
people,aged,1
people,40,1
people,right,1
aged,75,1
75,uncommon,1
uncommon,people,1
40,years,1
years,age,1
age,early,1
age,general,1
early,stages,2
stages,tumour,1
stages,often,1
tumour,pancreas,1
tumour,produces,1
tumour,may,1
tumour,large,1
usually,cause,1
usually,result,1
usually,referred,1
cause,symptoms,1
cause,different,1
symptoms,make,1
symptoms,caused,1
symptoms,start,1
symptoms,pancreatic,3
symptoms,diabetes,1
symptoms,depending,1
symptoms,early,1
make,difficult,1
difficult,diagnose,1
difficult,treat,1
difficult,diagnosed,1
diagnose,important,1
important,remember,1
remember,symptoms,1
many,different,1
different,conditions,1
different,endocrine,1
different,symptoms,1
result,cancer,1
contact,of,1
of,concerned,1
of,information,1
of,first,1
of,suspects,1
concerned,symptoms,1
start,suddenly,1
suddenly,first,1
first,noticeable,1
first,ask,1
noticeable,symptoms,1
pancreatic,cancer,10
often,possible,1
often,detected,1
possible,symptoms,1
include,may,1
include,1,1
include,tipsy,1
may,also,2
may,examine,1
may,request,1
may,either,1
may,include,1
also,develop,1
also,number,1
also,increase,1
also,check,1
also,carried,1
also,taken,1
develop,symptoms,1
diabetes,pancreatic,1
produce,chemicals,1
chemicals,interfere,1
interfere,normal,1
normal,effect,1
effect,insult,1
insult,also,1
number,different,1
number,risk,1
endocrine,tumours,1
tumours,cause,1
depending,harmony,1
harmony,tumour,1
produces,fully,1
fully,understood,1
understood,causes,1
causes,pancreatic,1
causes,webster,1
causes,symptoms,1
risk,factors,2
risk,developing,1
factors,developing,1
factors,pancreatic,1
factors,causes,1
developing,condition,1
developing,cancer,1
condition,identified,1
identified,Risk,1
Risk,factors,1
1,10,1
10,cases,1
inherited,person,1
person,parents,1
parents,Certain,1
Certain,genet,1
genet,also,1
increase,chances,1
chances,getting,1
getting,pancreatitis,1
pancreatitis,turn,1
turn,increases,1
increases,risk,1
Research,of,1
information,risk,1
webster,of,1
ask,general,1
general,health,2
health,carry,1
health,personal,1
carry,physical,1
physical,examination,1
examination,may,1
examine,mummy,1
mummy,abdomen,1
abdomen,lump,1
lump,see,1
see,whether,1
whether,liver,1
liver,enlarged,1
enlarged,also,1
check,skin,1
skin,eyes,1
eyes,signs,1
signs,jaundice,1
signs,symptoms,1
jaundice,may,1
request,urine,1
urine,sample,1
sample,blood,1
sample,taken,1
blood,test,1
test,of,1
suspects,pancreatic,1
referred,specialist,1
referred,tests,1
specialist,hospital,1
hospital,investigation,1
investigation,may,1
either,Depending,1
Depending,results,1
results,scan,1
scan,tests,1
tests,may,1
tests,faster,1
tests,suspected,1
tipsy,small,1
small,sample,1
taken,suspected,1
taken,consideration,1
suspected,tumour,1
suspected,pancreatic,1
carried,procedures,1
procedures,2015,1
2015,National,1
2015,guideline,1
National,Institute,1
Institute,Health,1
Health,Are,1
Are,Excellence,1
Excellence,NICE,1
NICE,published,1
NICE,2015,1
published,guideline,1
guideline,help,1
guideline,Suspected,1
help,was,1
was,recognise,1
recognise,signs,1
refer,people,1
right,tests,1
faster,find,1
find,referred,1
read,NICE,1
Suspected,Cancer,1
Recognition,Referral,1
Referral,Cancer,1
treat,rarely,1
rarely,causes,1
detected,cancer,1
fairly,advanced,1
advanced,tumour,1
advanced,age,1
treating,cancer,1
treatment,depend,1
depend,type,1
type,location,1
location,cancer,1
far,advanced,1
personal,references,1
references,also,1
